Territory X Date,target
Liechtenstein X 4/14/20,1
Liechtenstein X 4/15/20,1
Liechtenstein X 4/16/20,1
Liechtenstein X 4/17/20,1
Lithuania X 4/11/20,23
Lithuania X 4/12/20,23
Lithuania X 4/13/20,24
Lithuania X 4/14/20,29
Lithuania X 4/15/20,30
Lithuania X 4/16/20,32
Lithuania X 4/17/20,33
Luxembourg X 4/11/20,62
Luxembourg X 4/12/20,66
Luxembourg X 4/13/20,69
Luxembourg X 4/14/20,67
Luxembourg X 4/15/20,69
Luxembourg X 4/16/20,69
Luxembourg X 4/17/20,72
Madagascar X 4/11/20,0
Madagascar X 4/12/20,0
Madagascar X 4/13/20,0
Madagascar X 4/14/20,0
Madagascar X 4/15/20,0
Madagascar X 4/16/20,0
Madagascar X 4/17/20,0
Malawi X 4/11/20,2
Malawi X 4/12/20,2
Malawi X 4/13/20,2
Malawi X 4/14/20,2
Malawi X 4/15/20,2
Malawi X 4/16/20,2
Malawi X 4/17/20,2
Malaysia X 4/11/20,73
Malaysia X 4/12/20,76
Malaysia X 4/13/20,77
Malaysia X 4/14/20,82
Malaysia X 4/15/20,83
Malaysia X 4/16/20,84
Malaysia X 4/17/20,86
Maldives X 4/11/20,0
Maldives X 4/12/20,0
Maldives X 4/13/20,0
Maldives X 4/14/20,0
Maldives X 4/15/20,0
Maldives X 4/16/20,0
Maldives X 4/17/20,0
Mali X 4/11/20,7
Mali X 4/12/20,9
Mali X 4/13/20,10
Mali X 4/14/20,13
Mali X 4/15/20,13
Mali X 4/16/20,13
Mali X 4/17/20,13
Malta X 4/11/20,3
Malta X 4/12/20,3
Malta X 4/13/20,3
Malta X 4/14/20,3
Malta X 4/15/20,3
Malta X 4/16/20,3
Malta X 4/17/20,3
Marshall Islands (the) X 4/11/20,0
Marshall Islands (the) X 4/12/20,0
Marshall Islands (the) X 4/13/20,0
Marshall Islands (the) X 4/14/20,0
Marshall Islands (the) X 4/15/20,0
Marshall Islands (the) X 4/16/20,0
Marshall Islands (the) X 4/17/20,0
Mauritania X 4/11/20,1
Mauritania X 4/12/20,1
Mauritania X 4/13/20,1
Mauritania X 4/14/20,1
Mauritania X 4/15/20,1
Mauritania X 4/16/20,1
Mauritania X 4/17/20,1
Mauritius X 4/11/20,9
Mauritius X 4/12/20,9
Mauritius X 4/13/20,9
Mauritius X 4/14/20,9
Mauritius X 4/15/20,9
Mauritius X 4/16/20,9
Mauritius X 4/17/20,9
Mayotte X 4/11/20,3
Mayotte X 4/12/20,3
Mayotte X 4/13/20,3
Mayotte X 4/14/20,3
Mayotte X 4/15/20,3
Mayotte X 4/16/20,3
Mayotte X 4/17/20,4
Mexico X 4/11/20,233
Mexico X 4/12/20,273
Mexico X 4/13/20,296
Mexico X 4/14/20,332
Mexico X 4/15/20,406
Mexico X 4/16/20,449
Mexico X 4/17/20,486
Micronesia (Federated States of) X 4/11/20,0
Micronesia (Federated States of) X 4/12/20,0
Micronesia (Federated States of) X 4/13/20,0
Micronesia (Federated States of) X 4/14/20,0
Micronesia (Federated States of) X 4/15/20,0
Micronesia (Federated States of) X 4/16/20,0
Micronesia (Federated States of) X 4/17/20,0
Monaco X 4/11/20,1
Monaco X 4/12/20,1
Monaco X 4/13/20,1
Monaco X 4/14/20,1
Monaco X 4/15/20,3
Monaco X 4/16/20,3
Monaco X 4/17/20,3
Mongolia X 4/11/20,0
Mongolia X 4/12/20,0
Mongolia X 4/13/20,0
Mongolia X 4/14/20,0
Mongolia X 4/15/20,0
Mongolia X 4/16/20,0
Mongolia X 4/17/20,0
Montenegro X 4/11/20,2
Montenegro X 4/12/20,3
Montenegro X 4/13/20,3
Montenegro X 4/14/20,4
Montenegro X 4/15/20,4
Montenegro X 4/16/20,4
Montenegro X 4/17/20,5
Montserrat X 4/11/20,0
Montserrat X 4/12/20,0
Montserrat X 4/13/20,0
Montserrat X 4/14/20,0
Montserrat X 4/15/20,0
Montserrat X 4/16/20,0
Montserrat X 4/17/20,0
Morocco X 4/11/20,111
Morocco X 4/12/20,118
Morocco X 4/13/20,126
Morocco X 4/14/20,126
Morocco X 4/15/20,127
Morocco X 4/16/20,130
Morocco X 4/17/20,135
Mozambique X 4/11/20,0
Mozambique X 4/12/20,0
Mozambique X 4/13/20,0
Mozambique X 4/14/20,0
Mozambique X 4/15/20,0
Mozambique X 4/16/20,0
Mozambique X 4/17/20,0
Myanmar X 4/11/20,0
Myanmar X 4/12/20,0
Myanmar X 4/13/20,0
Myanmar X 4/14/20,0
Myanmar X 4/15/20,0
Myanmar X 4/16/20,0
Myanmar X 4/17/20,0
Namibia X 4/11/20,0
Namibia X 4/12/20,0
Namibia X 4/13/20,0
Namibia X 4/14/20,0
Namibia X 4/15/20,0
Namibia X 4/16/20,0
Namibia X 4/17/20,0
Nauru X 4/11/20,0
Nauru X 4/12/20,0
Nauru X 4/13/20,0
Nauru X 4/14/20,0
Nauru X 4/15/20,0
Nauru X 4/16/20,0
Nauru X 4/17/20,0
Nepal X 4/11/20,0
Nepal X 4/12/20,0
Nepal X 4/13/20,0
Nepal X 4/14/20,0
Nepal X 4/15/20,0
Nepal X 4/16/20,0
Nepal X 4/17/20,0
Netherlands (the) X 4/11/20,2652
Netherlands (the) X 4/12/20,2746
Netherlands (the) X 4/13/20,2832
Netherlands (the) X 4/14/20,2954
Netherlands (the) X 4/15/20,3143
Netherlands (the) X 4/16/20,3324
Netherlands (the) X 4/17/20,3468
New Caledonia X 4/11/20,0
New Caledonia X 4/12/20,0
New Caledonia X 4/13/20,0
New Caledonia X 4/14/20,0
New Caledonia X 4/15/20,0
New Caledonia X 4/16/20,0
New Caledonia X 4/17/20,0
New Zealand X 4/11/20,4
New Zealand X 4/12/20,4
New Zealand X 4/13/20,5
New Zealand X 4/14/20,9
New Zealand X 4/15/20,9
New Zealand X 4/16/20,9
New Zealand X 4/17/20,11
Nicaragua X 4/11/20,1
Nicaragua X 4/12/20,1
Nicaragua X 4/13/20,1
Nicaragua X 4/14/20,1
Nicaragua X 4/15/20,1
Nicaragua X 4/16/20,1
Nicaragua X 4/17/20,1
Niger (the) X 4/11/20,11
Niger (the) X 4/12/20,12
Niger (the) X 4/13/20,12
Niger (the) X 4/14/20,14
Niger (the) X 4/15/20,14
Niger (the) X 4/16/20,14
Niger (the) X 4/17/20,18
Nigeria X 4/11/20,10
Nigeria X 4/12/20,10
Nigeria X 4/13/20,10
Nigeria X 4/14/20,11
Nigeria X 4/15/20,12
Nigeria X 4/16/20,13
Nigeria X 4/17/20,17
North Macedonia X 4/11/20,34
North Macedonia X 4/12/20,34
North Macedonia X 4/13/20,38
North Macedonia X 4/14/20,44
North Macedonia X 4/15/20,45
North Macedonia X 4/16/20,46
North Macedonia X 4/17/20,49
Norway X 4/11/20,119
Norway X 4/12/20,128
Norway X 4/13/20,134
Norway X 4/14/20,139
Norway X 4/15/20,150
Norway X 4/16/20,152
Norway X 4/17/20,161
Oman X 4/11/20,3
Oman X 4/12/20,4
Oman X 4/13/20,4
Oman X 4/14/20,4
Oman X 4/15/20,4
Oman X 4/16/20,4
Oman X 4/17/20,6
Pakistan X 4/11/20,86
Pakistan X 4/12/20,91
Pakistan X 4/13/20,93
Pakistan X 4/14/20,96
Pakistan X 4/15/20,111
Pakistan X 4/16/20,128
Pakistan X 4/17/20,135
Palau X 4/11/20,0
Palau X 4/12/20,0
Palau X 4/13/20,0
Palau X 4/14/20,0
Palau X 4/15/20,0
Palau X 4/16/20,0
Palau X 4/17/20,0
Panama X 4/11/20,74
Panama X 4/12/20,79
Panama X 4/13/20,87
Panama X 4/14/20,94
Panama X 4/15/20,95
Panama X 4/16/20,103
Panama X 4/17/20,109
Papua New Guinea X 4/11/20,0
Papua New Guinea X 4/12/20,0
Papua New Guinea X 4/13/20,0
Papua New Guinea X 4/14/20,0
Papua New Guinea X 4/15/20,0
Papua New Guinea X 4/16/20,0
Papua New Guinea X 4/17/20,0
Paraguay X 4/11/20,6
Paraguay X 4/12/20,6
Paraguay X 4/13/20,6
Paraguay X 4/14/20,7
Paraguay X 4/15/20,8
Paraguay X 4/16/20,8
Paraguay X 4/17/20,8
Peru X 4/11/20,181
Peru X 4/12/20,193
Peru X 4/13/20,216
Peru X 4/14/20,230
Peru X 4/15/20,254
Peru X 4/16/20,274
Peru X 4/17/20,300
Philippines (the) X 4/11/20,247
Philippines (the) X 4/12/20,297
Philippines (the) X 4/13/20,315
Philippines (the) X 4/14/20,335
Philippines (the) X 4/15/20,349
Philippines (the) X 4/16/20,362
Philippines (the) X 4/17/20,387
Poland X 4/11/20,208
Poland X 4/12/20,232
Poland X 4/13/20,245
Poland X 4/14/20,263
Poland X 4/15/20,286
Poland X 4/16/20,314
Poland X 4/17/20,332
Portugal X 4/11/20,470
Portugal X 4/12/20,504
Portugal X 4/13/20,535
Portugal X 4/14/20,567
Portugal X 4/15/20,599
Portugal X 4/16/20,629
Portugal X 4/17/20,657
Qatar X 4/11/20,6
Qatar X 4/12/20,7
Qatar X 4/13/20,7
Qatar X 4/14/20,7
Qatar X 4/15/20,7
Qatar X 4/16/20,7
Qatar X 4/17/20,7
Republic of Korea (the) X 4/11/20,0
Republic of Korea (the) X 4/12/20,0
Republic of Korea (the) X 4/13/20,0
Republic of Korea (the) X 4/14/20,0
Republic of Korea (the) X 4/15/20,0
Republic of Korea (the) X 4/16/20,0
Republic of Korea (the) X 4/17/20,0
Republic of Moldova (the) X 4/11/20,30
Republic of Moldova (the) X 4/12/20,31
Republic of Moldova (the) X 4/13/20,35
Republic of Moldova (the) X 4/14/20,40
Republic of Moldova (the) X 4/15/20,46
Republic of Moldova (the) X 4/16/20,54
Republic of Moldova (the) X 4/17/20,56
Reunion X 4/11/20,0
Reunion X 4/12/20,0
Reunion X 4/13/20,0
Reunion X 4/14/20,0
Reunion X 4/15/20,0
Reunion X 4/16/20,0
Reunion X 4/17/20,0
Romania X 4/11/20,291
Romania X 4/12/20,316
Romania X 4/13/20,331
Romania X 4/14/20,351
Romania X 4/15/20,372
Romania X 4/16/20,392
Romania X 4/17/20,411
Russian Federation (the) X 4/11/20,106
Russian Federation (the) X 4/12/20,130
Russian Federation (the) X 4/13/20,148
Russian Federation (the) X 4/14/20,170
Russian Federation (the) X 4/15/20,198
Russian Federation (the) X 4/16/20,232
Russian Federation (the) X 4/17/20,273
Rwanda X 4/11/20,0
Rwanda X 4/12/20,0
Rwanda X 4/13/20,0
Rwanda X 4/14/20,0
Rwanda X 4/15/20,0
Rwanda X 4/16/20,0
Rwanda X 4/17/20,0
Saint Barthelemy X 4/11/20,0
Saint Barthelemy X 4/12/20,0
Saint Barthelemy X 4/13/20,0
Saint Barthelemy X 4/14/20,0
Saint Barthelemy X 4/15/20,0
Saint Barthelemy X 4/16/20,0
Saint Barthelemy X 4/17/20,0
Saint Kitts and Nevis X 4/11/20,0
Saint Kitts and Nevis X 4/12/20,0
Saint Kitts and Nevis X 4/13/20,0
Saint Kitts and Nevis X 4/14/20,0
Saint Kitts and Nevis X 4/15/20,0
Saint Kitts and Nevis X 4/16/20,0
Saint Kitts and Nevis X 4/17/20,0
Saint Lucia X 4/11/20,0
Saint Lucia X 4/12/20,0
Saint Lucia X 4/13/20,0
Saint Lucia X 4/14/20,0
Saint Lucia X 4/15/20,0
Saint Lucia X 4/16/20,0
Saint Lucia X 4/17/20,0
Saint Vincent and the Grenadines X 4/11/20,0
Saint Vincent and the Grenadines X 4/12/20,0
Saint Vincent and the Grenadines X 4/13/20,0
Saint Vincent and the Grenadines X 4/14/20,0
Saint Vincent and the Grenadines X 4/15/20,0
Saint Vincent and the Grenadines X 4/16/20,0
Saint Vincent and the Grenadines X 4/17/20,0
Samoa X 4/11/20,0
Samoa X 4/12/20,0
Samoa X 4/13/20,0
Samoa X 4/14/20,0
Samoa X 4/15/20,0
Samoa X 4/16/20,0
Samoa X 4/17/20,0
San Marino X 4/11/20,35
San Marino X 4/12/20,35
San Marino X 4/13/20,35
San Marino X 4/14/20,36
San Marino X 4/15/20,36
San Marino X 4/16/20,38
San Marino X 4/17/20,39
Sao Tome and Principe X 4/11/20,0
Sao Tome and Principe X 4/12/20,0
Sao Tome and Principe X 4/13/20,0
Sao Tome and Principe X 4/14/20,0
Sao Tome and Principe X 4/15/20,0
Sao Tome and Principe X 4/16/20,0
Sao Tome and Principe X 4/17/20,0
Saudi Arabia X 4/11/20,52
Saudi Arabia X 4/12/20,59
Saudi Arabia X 4/13/20,65
Saudi Arabia X 4/14/20,73
Saudi Arabia X 4/15/20,79
Saudi Arabia X 4/16/20,83
Saudi Arabia X 4/17/20,87
Senegal X 4/11/20,2
Senegal X 4/12/20,2
Senegal X 4/13/20,2
Senegal X 4/14/20,2
Senegal X 4/15/20,2
Senegal X 4/16/20,2
Senegal X 4/17/20,2
Serbia X 4/11/20,74
Serbia X 4/12/20,80
Serbia X 4/13/20,85
Serbia X 4/14/20,94
Serbia X 4/15/20,99
Serbia X 4/16/20,103
Serbia X 4/17/20,110
Seychelles X 4/11/20,0
Seychelles X 4/12/20,0
Seychelles X 4/13/20,0
Seychelles X 4/14/20,0
Seychelles X 4/15/20,0
Seychelles X 4/16/20,0
Seychelles X 4/17/20,0
Sierra Leone X 4/11/20,0
Sierra Leone X 4/12/20,0
Sierra Leone X 4/13/20,0
Sierra Leone X 4/14/20,0
Sierra Leone X 4/15/20,0
Sierra Leone X 4/16/20,0
Sierra Leone X 4/17/20,0
Singapore X 4/11/20,8
Singapore X 4/12/20,8
Singapore X 4/13/20,9
Singapore X 4/14/20,10
Singapore X 4/15/20,10
Singapore X 4/16/20,10
Singapore X 4/17/20,11
Slovakia X 4/11/20,2
Slovakia X 4/12/20,2
Slovakia X 4/13/20,2
Slovakia X 4/14/20,2
Slovakia X 4/15/20,6
Slovakia X 4/16/20,8
Slovakia X 4/17/20,9
Slovenia X 4/11/20,50
Slovenia X 4/12/20,53
Slovenia X 4/13/20,55
Slovenia X 4/14/20,56
Slovenia X 4/15/20,61
Slovenia X 4/16/20,61
Slovenia X 4/17/20,66
Solomon Islands X 4/11/20,0
Solomon Islands X 4/12/20,0
Solomon Islands X 4/13/20,0
Solomon Islands X 4/14/20,0
Solomon Islands X 4/15/20,0
Solomon Islands X 4/16/20,0
Solomon Islands X 4/17/20,0
Somalia X 4/11/20,1
Somalia X 4/12/20,1
Somalia X 4/13/20,2
Somalia X 4/14/20,2
Somalia X 4/15/20,5
Somalia X 4/16/20,5
Somalia X 4/17/20,6
South Africa X 4/11/20,25
South Africa X 4/12/20,25
South Africa X 4/13/20,27
South Africa X 4/14/20,27
South Africa X 4/15/20,34
South Africa X 4/16/20,48
South Africa X 4/17/20,50
South Sudan X 4/11/20,2
South Sudan X 4/12/20,2
South Sudan X 4/13/20,4
South Sudan X 4/14/20,5
South Sudan X 4/15/20,5
South Sudan X 4/16/20,5
South Sudan X 4/17/20,6
Spain X 4/11/20,16606
Spain X 4/12/20,17209
Spain X 4/13/20,17756
Spain X 4/14/20,18056
Spain X 4/15/20,18708
Spain X 4/16/20,19315
Spain X 4/17/20,20002
Sri Lanka X 4/11/20,7
Sri Lanka X 4/12/20,7
Sri Lanka X 4/13/20,7
Sri Lanka X 4/14/20,7
Sri Lanka X 4/15/20,7
Sri Lanka X 4/16/20,7
Sri Lanka X 4/17/20,7
St Martin X 4/11/20,2
St Martin X 4/12/20,2
St Martin X 4/13/20,2
St Martin X 4/14/20,2
St Martin X 4/15/20,2
St Martin X 4/16/20,2
St Martin X 4/17/20,2
Sudan (the) X 4/11/20,0
Sudan (the) X 4/12/20,0
Sudan (the) X 4/13/20,0
Sudan (the) X 4/14/20,0
Sudan (the) X 4/15/20,0
Sudan (the) X 4/16/20,0
Sudan (the) X 4/17/20,0
Suriname X 4/11/20,1
Suriname X 4/12/20,1
Suriname X 4/13/20,1
Suriname X 4/14/20,1
Suriname X 4/15/20,1
Suriname X 4/16/20,1
Suriname X 4/17/20,1
Sweden X 4/11/20,887
Sweden X 4/12/20,899
Sweden X 4/13/20,919
Sweden X 4/14/20,1033
Sweden X 4/15/20,1203
Sweden X 4/16/20,1333
Sweden X 4/17/20,1400
Switzerland X 4/11/20,1036
Switzerland X 4/12/20,1106
Switzerland X 4/13/20,1138
Switzerland X 4/14/20,1174
Switzerland X 4/15/20,1239
Switzerland X 4/16/20,1281
Switzerland X 4/17/20,1327
Syrian Arab Republic (the) X 4/11/20,2
Syrian Arab Republic (the) X 4/12/20,2
Syrian Arab Republic (the) X 4/13/20,2
Syrian Arab Republic (the) X 4/14/20,2
Syrian Arab Republic (the) X 4/15/20,2
Syrian Arab Republic (the) X 4/16/20,2
Syrian Arab Republic (the) X 4/17/20,2
Taiwan X 4/11/20,6
Taiwan X 4/12/20,6
Taiwan X 4/13/20,6
Taiwan X 4/14/20,6
Taiwan X 4/15/20,6
Taiwan X 4/16/20,6
Taiwan X 4/17/20,6
Tajikistan X 4/11/20,0
Tajikistan X 4/12/20,0
Tajikistan X 4/13/20,0
Tajikistan X 4/14/20,0
Tajikistan X 4/15/20,0
Tajikistan X 4/16/20,0
Tajikistan X 4/17/20,0
Thailand X 4/11/20,35
Thailand X 4/12/20,38
Thailand X 4/13/20,40
Thailand X 4/14/20,41
Thailand X 4/15/20,43
Thailand X 4/16/20,46
Thailand X 4/17/20,47
Timor-Leste X 4/11/20,0
Timor-Leste X 4/12/20,0
Timor-Leste X 4/13/20,0
Timor-Leste X 4/14/20,0
Timor-Leste X 4/15/20,0
Timor-Leste X 4/16/20,0
Timor-Leste X 4/17/20,0
Togo X 4/11/20,3
Togo X 4/12/20,3
Togo X 4/13/20,3
Togo X 4/14/20,3
Togo X 4/15/20,3
Togo X 4/16/20,5
Togo X 4/17/20,5
Tonga X 4/11/20,0
Tonga X 4/12/20,0
Tonga X 4/13/20,0
Tonga X 4/14/20,0
Tonga X 4/15/20,0
Tonga X 4/16/20,0
Tonga X 4/17/20,0
Trinidad and Tobago X 4/11/20,8
Trinidad and Tobago X 4/12/20,8
Trinidad and Tobago X 4/13/20,8
Trinidad and Tobago X 4/14/20,8
Trinidad and Tobago X 4/15/20,8
Trinidad and Tobago X 4/16/20,8
Trinidad and Tobago X 4/17/20,8
Tunisia X 4/11/20,28
Tunisia X 4/12/20,31
Tunisia X 4/13/20,34
Tunisia X 4/14/20,34
Tunisia X 4/15/20,35
Tunisia X 4/16/20,37
Tunisia X 4/17/20,37
Turkey X 4/11/20,1101
Turkey X 4/12/20,1198
Turkey X 4/13/20,1296
Turkey X 4/14/20,1403
Turkey X 4/15/20,1518
Turkey X 4/16/20,1643
Turkey X 4/17/20,1769
Turkmenistan X 4/11/20,0
Turkmenistan X 4/12/20,0
Turkmenistan X 4/13/20,0
Turkmenistan X 4/14/20,0
Turkmenistan X 4/15/20,0
Turkmenistan X 4/16/20,0
Turkmenistan X 4/17/20,0
Tuvalu X 4/11/20,0
Tuvalu X 4/12/20,0
Tuvalu X 4/13/20,0
Tuvalu X 4/14/20,0
Tuvalu X 4/15/20,0
Tuvalu X 4/16/20,0
Tuvalu X 4/17/20,0
Uganda X 4/11/20,0
Uganda X 4/12/20,0
Uganda X 4/13/20,0
Uganda X 4/14/20,0
Uganda X 4/15/20,0
Uganda X 4/16/20,0
Uganda X 4/17/20,0
Ukraine X 4/11/20,73
Ukraine X 4/12/20,83
Ukraine X 4/13/20,93
Ukraine X 4/14/20,98
Ukraine X 4/15/20,108
Ukraine X 4/16/20,116
Ukraine X 4/17/20,125
United Arab Emirates (the) X 4/11/20,20
United Arab Emirates (the) X 4/12/20,22
United Arab Emirates (the) X 4/13/20,25
United Arab Emirates (the) X 4/14/20,28
United Arab Emirates (the) X 4/15/20,33
United Arab Emirates (the) X 4/16/20,35
United Arab Emirates (the) X 4/17/20,37
United Kingdom of Great Britain and Northern Ireland (the) X 4/11/20,9887
United Kingdom of Great Britain and Northern Ireland (the) X 4/12/20,10624
United Kingdom of Great Britain and Northern Ireland (the) X 4/13/20,11341
United Kingdom of Great Britain and Northern Ireland (the) X 4/14/20,12123
United Kingdom of Great Britain and Northern Ireland (the) X 4/15/20,12888
United Kingdom of Great Britain and Northern Ireland (the) X 4/16/20,13753
United Kingdom of Great Britain and Northern Ireland (the) X 4/17/20,14601
United Republic of Tanzania (the) X 4/11/20,3
United Republic of Tanzania (the) X 4/12/20,3
United Republic of Tanzania (the) X 4/13/20,3
United Republic of Tanzania (the) X 4/14/20,3
United Republic of Tanzania (the) X 4/15/20,4
United Republic of Tanzania (the) X 4/16/20,4
United Republic of Tanzania (the) X 4/17/20,5
United States of America (the) X 4/11/20,20462
United States of America (the) X 4/12/20,22019
United States of America (the) X 4/13/20,23528
United States of America (the) X 4/14/20,25831
United States of America (the) X 4/15/20,28325
United States of America (the) X 4/16/20,32916
United States of America (the) X 4/17/20,36773
Uruguay X 4/11/20,7
Uruguay X 4/12/20,7
Uruguay X 4/13/20,8
Uruguay X 4/14/20,8
Uruguay X 4/15/20,8
Uruguay X 4/16/20,9
Uruguay X 4/17/20,9
Uzbekistan X 4/11/20,4
Uzbekistan X 4/12/20,4
Uzbekistan X 4/13/20,4
Uzbekistan X 4/14/20,4
Uzbekistan X 4/15/20,4
Uzbekistan X 4/16/20,4
Uzbekistan X 4/17/20,4
Vanuatu X 4/11/20,0
Vanuatu X 4/12/20,0
Vanuatu X 4/13/20,0
Vanuatu X 4/14/20,0
Vanuatu X 4/15/20,0
Vanuatu X 4/16/20,0
Vanuatu X 4/17/20,0
Venezuela (Bolivarian Republic of) X 4/11/20,9
Venezuela (Bolivarian Republic of) X 4/12/20,9
Venezuela (Bolivarian Republic of) X 4/13/20,9
Venezuela (Bolivarian Republic of) X 4/14/20,9
Venezuela (Bolivarian Republic of) X 4/15/20,9
Venezuela (Bolivarian Republic of) X 4/16/20,9
Venezuela (Bolivarian Republic of) X 4/17/20,9
Viet Nam X 4/11/20,0
Viet Nam X 4/12/20,0
Viet Nam X 4/13/20,0
Viet Nam X 4/14/20,0
Viet Nam X 4/15/20,0
Viet Nam X 4/16/20,0
Viet Nam X 4/17/20,0
Yemen X 4/11/20,0
Yemen X 4/12/20,0
Yemen X 4/13/20,0
Yemen X 4/14/20,0
Yemen X 4/15/20,0
Yemen X 4/16/20,0
Yemen X 4/17/20,0
Zambia X 4/11/20,2
Zambia X 4/12/20,2
Zambia X 4/13/20,2
Zambia X 4/14/20,2
Zambia X 4/15/20,2
Zambia X 4/16/20,2
Zambia X 4/17/20,2
Zimbabwe X 4/11/20,3
Zimbabwe X 4/12/20,3
Zimbabwe X 4/13/20,3
Zimbabwe X 4/14/20,3
Zimbabwe X 4/15/20,3
Zimbabwe X 4/16/20,3
Zimbabwe X 4/17/20,3
